         16155665 function calls (14811753 primitive calls) in 120.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.353    0.353 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/height.py:39(_handle_missing_heights)
   182970    0.325    0.000    0.326    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:643(_archive_for_zip_module)
        1    0.000    0.000    0.325    0.325 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/n_floor.py:16(run)
        1    0.000    0.000    0.321    0.321 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/n_floor.py:34(_fill_missing_floors)
8732/8431    0.028    0.000    0.320    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      2/1    0.000    0.000    0.317    0.317 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/user_webservice/polygon_from_buildings.py:14(user_polygon)
        1    0.000    0.000    0.314    0.314 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/user_webservice/polygon_from_buildings.py:52(save_geojson)
      189    0.002    0.000    0.298    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:4130(_getitem_bool_array)
        1    0.000    0.000    0.290    0.290 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/usage.py:15(run)
        1    0.000    0.000    0.286    0.286 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/usage.py:33(_handle_missing_usage)
     4482    0.078    0.000    0.282    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:373(__init__)
      606    0.021    0.000    0.282    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:869(iterfeatures)
        1    0.000    0.000    0.260    0.260 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/building_extractor.py:60(_extract_from_osm)
1713/1697    0.036    0.000    0.256    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
     8431    0.094    0.000    0.247    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
  476/475    0.003    0.000    0.241    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
    21505    0.219    0.000    0.219    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:127(__init__)
     4567    0.127    0.000    0.208    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/creation.py:176(polygons)
      194    0.002    0.000    0.206    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/indexing.py:1719(_getitem_axis)
     27/2    0.001    0.000    0.201    0.101 <frozen importlib._bootstrap>:1349(_find_and_load)
     27/2    0.000    0.000    0.201    0.100 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     23/2    0.000    0.000    0.200    0.100 <frozen importlib._bootstrap>:911(_load_unlocked)
       12    0.000    0.000    0.199    0.017 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:98(_check_engine)
       24    0.000    0.000    0.199    0.008 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:35(_import_fiona)
     17/2    0.000    0.000    0.199    0.100 <frozen importlib._bootstrap_external>:989(exec_module)
     58/4    0.141    0.002    0.198    0.049 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     17/2    0.000    0.000    0.198    0.099 {built-in method builtins.exec}
        1    0.000    0.000    0.197    0.197 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/__init__.py:1(<module>)
      149    0.000    0.000    0.197    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/indexing.py:1696(_get_list_axis)
        4    0.001    0.000    0.192    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/features.py:989(_filter_gdf_by_polygon_and_tags)
      713    0.003    0.000    0.184    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
    12541    0.064    0.000    0.156    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:201(from_dict)
       12    0.000    0.000    0.152    0.013 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/env.py:436(wrapper)
       23    0.000    0.000    0.151    0.007 <frozen importlib._bootstrap>:806(module_from_spec)
        6    0.000    0.000    0.150    0.025 <frozen importlib._bootstrap_external>:1287(create_module)
       44    0.002    0.000    0.148    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:131(__init__)
     4570    0.141    0.000    0.142    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/creation.py:124(linearrings)
      545    0.004    0.000    0.141    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/series.py:6110(_cmp_method)
     3949    0.094    0.000    0.139    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/creation.py:398(multipolygons)
       88    0.002    0.000    0.138    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
      598    0.001    0.000    0.136    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/geo.py:115(mapping)
        3    0.001    0.000    0.136    0.045 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/data_manager/osm_check.py:45(spatial_join)
        4    0.000    0.000    0.134    0.033 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/tools/sjoin.py:12(sjoin)
      583    0.009    0.000    0.132    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/polygon.py:289(__geo_interface__)
   173524    0.126    0.000    0.126    0.000 {method 'endswith' of 'str' objects}
     8431    0.037    0.000    0.122    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
24557/24256    0.102    0.000    0.122    0.000 {built-in method numpy.asarray}
        4    0.002    0.000    0.120    0.030 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/utils_geo.py:344(_intersect_index_quadrats)
        4    0.002    0.000    0.117    0.029 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/tools/sjoin.py:233(_frame_join)
   178565    0.070    0.000    0.116    0.000 <frozen posixpath>:41(_get_sep)
270526/269003    0.070    0.000    0.112    0.000 {built-in method builtins.getattr}
      686    0.006    0.000    0.110    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/series.py:6201(_construct_result)
        1    0.000    0.000    0.106    0.106 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_preparation.py:32(integrate_data)
    24744    0.048    0.000    0.106    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:142(__iter__)
        1    0.000    0.000    0.105    0.105 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/data_integration.py:20(run)
    13583    0.046    0.000    0.104    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/numerictypes.py:357(issubdtype)
       42    0.001    0.000    0.101    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:249(set_geometry)
      142    0.001    0.000    0.100    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/base.py:60(_binary_op)
     5180    0.099    0.000    0.100    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.099    0.099 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/transformation/output_generator.py:61(generate_output_file)
      335    0.003    0.000    0.094    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/generic.py:6432(dtypes)
      115    0.001    0.000    0.092    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1502(__setitem__)
        1    0.000    0.000    0.091    0.091 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_preparation.py:36(clean_data)
        1    0.000    0.000    0.090    0.090 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_cleaning/clean_null.py:13(run)
      322    0.001    0.000    0.090    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/arraylike.py:38(__eq__)
      437    0.003    0.000    0.088    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1623(_geodataframe_constructor_sliced)
      278    0.004    0.000    0.087    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/internals/managers.py:557(copy)
     2273    0.025    0.000    0.087    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
   192285    0.087    0.000    0.087    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.086    0.086 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/data_integration.py:16(save_integrated)
    78007    0.071    0.000    0.086    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/polygon.py:87(_coords)
   133023    0.062    0.000    0.085    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:202(__get__)
   178774    0.084    0.000    0.084    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.079    0.079 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
        1    0.000    0.000    0.079    0.079 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
      142    0.005    0.000    0.078    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/base.py:27(_delegate_binary_method)
       19    0.001    0.000    0.078    0.004 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/base_feature.py:84(check_invalid_rows)
     1245    0.006    0.000    0.077    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:4626(_get_item_cache)
      414    0.002    0.000    0.077    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:208(_get_geometry)
       12    0.000    0.000    0.077    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1541(merge)
        1    0.000    0.000    0.076    0.076 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/n_family.py:20(run)
     1123    0.040    0.000    0.076    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/wspbus.py:214(publish)
       12    0.061    0.005    0.074    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/collection.py:51(__init__)
      126    0.001    0.000    0.073    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/generic.py:6662(copy)
      880    0.001    0.000    0.073    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyproj/crs/crs.py:475(from_user_input)
      108    0.001    0.000    0.073    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1533(copy)
      536    0.007    0.000    0.072    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/features.py:578(_parse_way_to_linestring_or_polygon)
       36    0.071    0.002    0.072    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyproj/crs/crs.py:183(__init__)
       12    0.000    0.000    0.072    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:10813(merge)
       12    0.000    0.000    0.072    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/reshape/merge.py:135(merge)
       17    0.000    0.000    0.071    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1330(to_crs)
        3    0.000    0.000    0.069    0.023 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/data_manager/utility.py:46(_merge_feature_data)
        1    0.000    0.000    0.069    0.069 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/n_family.py:75(_calculate_family_distribution)
      121    0.002    0.000    0.068    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:4271(__setitem__)
      813    0.004    0.000    0.067    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:3983(_ixs)
        5    0.009    0.002    0.066    0.013 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/__init__.py:120(dump)
      142    0.000    0.000    0.065    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/array.py:599(_binary_method)
